PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,PubChem Standard Value,IC50 Qualifier,IC50,Target Accession(s),Ligand,Target
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,FLOAT,TARGET_NCBI_PROTEIN_ACCESSION,STRING,STRING
RESULT_DESCR,,,,,,,,"Standardized activity type (i.e. Ki, IC50, Kd, or EC50)","Qualifier (e.g. >, <, =) for PubChem Standard Value","PubChem standardized value transformed from the value of Ki, IC50, Kd, or EC50. The unit is always micromolar.","Qualifier (e.g. >, <, =) for IC50",,Protein accession(s) of target,BindingDB Ligand,BindingDB Target
RESULT_UNIT,,,,,,,,,,MICROMOLAR,,NANOMOLAR,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,TRUE,,,,,,
1,475953891,138572268,CCS(=O)(=O)NC1=C(C=C(C=C1)C2=CC(=NC3=C2C=CN3)NC(=O)C4CC4)F,Active,,,,IC50,<,0.02,<,20,P23458,BDBM584253,Tyrosine-protein kinase JAK1
2,475953892,138561993,C1CC1C(=O)NC2=NC3=C(C=CN3)C(=C2)C4=CC=C(C=C4)NS(=O)(=O)C5=CC(=C(C=C5)F)F,Active,,,,IC50,<,0.02,<,20,P23458,BDBM584254,Tyrosine-protein kinase JAK1
3,475953893,138560848,C1CC1C(=O)NC2=NC3=C(C=CN3)C(=C2)C4=CC=C(C=C4)NS(=O)(=O)CCCF,Active,,,,IC50,<,0.02,<,20,P23458,BDBM584255,Tyrosine-protein kinase JAK1
4,475953894,138561901,CCS(=O)(=O)NC1=CC=C(C=C1)C2=CC(=NC3=C2C=CN3)NC(=O)C4CC4,Active,,,,IC50,<,0.02,<,20,P23458,BDBM584256,Tyrosine-protein kinase JAK1
5,475953895,138560707,CCCS(=O)(=O)NC1=CC=C(C=C1)C2=CC(=NC3=C2C=CN3)NC(=O)C4CC4,Active,,,,IC50,<,0.02,<,20,P23458,BDBM584257,Tyrosine-protein kinase JAK1
6,475953896,138561144,CCCCS(=O)(=O)NC1=CC=C(C=C1)C2=CC(=NC3=C2C=CN3)NC(=O)C4CC4,Active,,,,IC50,<,0.02,<,20,P23458,BDBM584258,Tyrosine-protein kinase JAK1
7,475953897,138562829,C1CCC(CC1)S(=O)(=O)NC2=CC=C(C=C2)C3=CC(=NC4=C3C=CN4)NC(=O)C5CC5,Active,,,,IC50,<,0.02,<,20,P23458,BDBM584259,Tyrosine-protein kinase JAK1
8,475953898,138561521,C1CC1C(=O)NC2=NC3=C(C=CN3)C(=C2)C4=CC=C(C=C4)NS(=O)(=O)CCF,Active,,,,IC50,,0.11,,110,P23458,BDBM584260,Tyrosine-protein kinase JAK1
9,475953899,138560823,C1CC1C(=O)NC2=NC3=C(C=CN3)C(=C2)C4=CC=C(C=C4)NS(=O)(=O)C5CCS(=O)(=O)CC5,Active,,,,IC50,<,0.02,<,20,P23458,BDBM584261,Tyrosine-protein kinase JAK1
10,475953900,138560958,C1CC1C(=O)NC2=NC3=C(C=CN3)C(=C2)C4=CC=C(C=C4)NS(=O)(=O)C5CCS(=O)(=O)C5,Active,,,,IC50,<,0.02,<,20,P23458,BDBM584262,Tyrosine-protein kinase JAK1
11,475953901,138561470,C1CC1C(=O)NC2=NC3=C(C=CN3)C(=C2)C4=CC=C(C=C4)NS(=O)(=O)C5CS(=O)(=O)C5,Active,,,,IC50,<,0.02,<,20,P23458,BDBM584263,Tyrosine-protein kinase JAK1
12,475953902,138561917,C1CC1C(=O)NC2=NC3=C(C=CN3)C(=C2)C4=CC=C(C=C4)NS(=O)(=O)C5=CN=C(C=C5)Cl,Active,,,,IC50,<,0.02,<,20,P23458,BDBM584264,Tyrosine-protein kinase JAK1
